date,latitude,cloud_type,rh_percent,temperature_c,solar_energy_kwh_m2,predicted_liters_per_day
2025-01-01,43.6532,0.0,65.0,12.0,2.164378026063676,1.9199955549291317
2025-01-01,43.6532,1.0,65.0,12.0,2.1598003954593,1.916319717553818
2025-01-01,43.6532,2.0,65.0,12.0,1.3550306988972125,1.2700896512144617
2025-01-01,43.6532,3.0,65.0,12.0,1.2148255925959908,1.1575049508545807
2025-01-01,43.6532,4.0,65.0,12.0,1.0543717175828975,1.0286604892190667
2025-01-01,43.6532,5.0,65.0,12.0,1.0543717175828975,1.0286604892190667
2025-01-01,43.6532,6.0,65.0,12.0,0.9859336785395865,0.9737047438672879
2025-01-01,43.6532,7.0,65.0,12.0,1.275009084214574,1.205832294624303
2025-01-01,43.6532,8.0,65.0,12.0,1.3061840253900872,1.23086577238824
2025-01-01,43.6532,9.0,65.0,12.0,1.2660792359475466,1.1986616264658798
2025-01-01,43.6532,10.0,65.0,12.0,1.2660792359475466,1.1986616264658798
2025-01-06,43.6532,0.0,65.0,12.0,2.239739885662685,1.9805111281871361
2025-01-06,43.6532,1.0,65.0,12.0,2.2355813227496046,1.9771718021679325
2025-01-06,43.6532,2.0,65.0,12.0,1.4028924233994522,1.30852261598976
2025-01-06,43.6532,3.0,65.0,12.0,1.2695641718356423,1.2014600299840208
2025-01-06,43.6532,4.0,65.0,12.0,1.102285699027873,1.0671354163193822
2025-01-06,43.6532,5.0,65.0,12.0,1.1022856990278729,1.067135416319382
2025-01-06,43.6532,6.0,65.0,12.0,1.0299115329782853,1.0090189609815632
2025-01-06,43.6532,7.0,65.0,12.0,1.3478194927761726,1.2642990526992666
2025-01-06,43.6532,8.0,65.0,12.0,1.380357232701349,1.290426857859183
2025-01-06,43.6532,9.0,65.0,12.0,1.3377917499536038,1.256246775212744
2025-01-06,43.6532,10.0,65.0,12.0,1.3377917499536038,1.256246775212744
2025-01-11,43.6532,0.0,65.0,12.0,2.343846166481463,2.064108471684615
2025-01-11,43.6532,1.0,65.0,12.0,2.3400224011829605,2.0610379881499172
2025-01-11,43.6532,2.0,65.0,12.0,1.495257451396586,1.3826917334714586
2025-01-11,43.6532,3.0,65.0,12.0,1.3594152779659574,1.2736104682066638
2025-01-11,43.6532,4.0,65.0,12.0,1.1864672366993299,1.134733191069562
2025-01-11,43.6532,5.0,65.0,12.0,1.1864672366993299,1.134733191069562
2025-01-11,43.6532,6.0,65.0,12.0,1.098413126529813,1.06402574060344
2025-01-11,43.6532,7.0,65.0,12.0,1.4840313561292753,1.373677178971808
2025-01-11,43.6532,8.0,65.0,12.0,1.5155047886990043,1.3989503453253005
2025-01-11,43.6532,9.0,65.0,12.0,1.467790605608474,1.3606358563036045
2025-01-11,43.6532,10.0,65.0,12.0,1.4677906056084735,1.3606358563036043
2025-01-16,43.6532,0.0,65.0,12.0,2.476627777207735,2.1707321050978114
2025-01-16,43.6532,1.0,65.0,12.0,2.471898718166167,2.166934670687432
2025-01-16,43.6532,2.0,65.0,12.0,1.6297220090913902,1.4906667733003864
2025-01-16,43.6532,3.0,65.0,12.0,1.5076615793315595,1.3926522482032424
2025-01-16,43.6532,4.0,65.0,12.0,1.223692392710761,1.1646249913467412
2025-01-16,43.6532,5.0,65.0,12.0,1.2236923927107612,1.1646249913467412
2025-01-16,43.6532,6.0,65.0,12.0,1.1492759779065167,1.104868610258933
2025-01-16,43.6532,7.0,65.0,12.0,1.6085529515783596,1.4736680201174228
2025-01-16,43.6532,8.0,65.0,12.0,1.63594459501948,1.4956635098006423
2025-01-16,43.6532,9.0,65.0,12.0,1.594661789521262,1.4625134169855734
2025-01-16,43.6532,10.0,65.0,12.0,1.594661789521262,1.4625134169855734
2025-01-21,43.6532,0.0,65.0,12.0,2.6401648807233618,2.3020523992208597
2025-01-21,43.6532,1.0,65.0,12.0,2.6328624274869554,2.296188529272025
2025-01-21,43.6532,2.0,65.0,12.0,1.7372296988200417,1.5769954481524935
2025-01-21,43.6532,3.0,65.0,12.0,1.623662153646189,1.4858007093778898
2025-01-21,43.6532,4.0,65.0,12.0,1.2499111274112593,1.1856786353112412
2025-01-21,43.6532,5.0,65.0,12.0,1.2499111274112593,1.1856786353112412
2025-01-21,43.6532,6.0,65.0,12.0,1.1735203304633963,1.1243368253621073
2025-01-21,43.6532,7.0,65.0,12.0,1.7044818289815553,1.550698908672189
2025-01-21,43.6532,8.0,65.0,12.0,1.7309225630805105,1.57193081815365
2025-01-21,43.6532,9.0,65.0,12.0,1.6953785256880018,1.5433889561274654
2025-01-21,43.6532,10.0,65.0,12.0,1.6953785256880018,1.5433889561274654
2025-01-26,43.6532,0.0,65.0,12.0,2.8215164901664673,2.4476777416036732
2025-01-26,43.6532,1.0,65.0,12.0,2.809423018039455,2.4379666834856826
2025-01-26,43.6532,2.0,65.0,12.0,1.894308528529827,1.703129748409451
2025-01-26,43.6532,3.0,65.0,12.0,1.7594102996706344,1.5948064706355194
2025-01-26,43.6532,4.0,65.0,12.0,1.3201160436279125,1.2420531830332138
2025-01-26,43.6532,5.0,65.0,12.0,1.3201160436279125,1.2420531830332138
2025-01-26,43.6532,6.0,65.0,12.0,1.2485008487284273,1.184546181528927
2025-01-26,43.6532,7.0,65.0,12.0,1.7589976900720394,1.5944751451278476
2025-01-26,43.6532,8.0,65.0,12.0,1.7924814540711882,1.621362607619164
2025-01-26,43.6532,9.0,65.0,12.0,1.7599404062043187,1.595232146182068
2025-01-26,43.6532,10.0,65.0,12.0,1.7599404062043187,1.595232146182068
2025-01-31,43.6532,0.0,65.0,12.0,3.0174792916415845,2.6050358711881922
2025-01-31,43.6532,1.0,65.0,12.0,3.004289487554281,2.5944444585060875
2025-01-31,43.6532,2.0,65.0,12.0,2.026310185247241,1.8091270787535347
2025-01-31,43.6532,3.0,65.0,12.0,1.890934156824726,1.700420127930255
2025-01-31,43.6532,4.0,65.0,12.0,1.3657445158268307,1.278692846208945
2025-01-31,43.6532,5.0,65.0,12.0,1.3657445158268307,1.278692846208945
2025-01-31,43.6532,6.0,65.0,12.0,1.3042510468090707,1.2293135905876837
2025-01-31,43.6532,7.0,65.0,12.0,1.8133397232015407,1.6381117977308373
2025-01-31,43.6532,8.0,65.0,12.0,1.8519154700297962,1.6690881224339265
2025-01-31,43.6532,9.0,65.0,12.0,1.8233597591098774,1.6461578865652315
2025-01-31,43.6532,10.0,65.0,12.0,1.8233597591098774,1.6461578865652315
2025-02-05,43.6532,0.0,65.0,12.0,3.239254141986953,2.7831210760155236
2025-02-05,43.6532,1.0,65.0,12.0,3.231389831125233,2.7768060343935623
2025-02-05,43.6532,2.0,65.0,12.0,2.2144881642866943,1.9602339959222155
2025-02-05,43.6532,3.0,65.0,12.0,1.9674303355667904,1.7618465594601327
2025-02-05,43.6532,4.0,65.0,12.0,1.450676569806601,1.3468932855547007
2025-02-05,43.6532,5.0,65.0,12.0,1.450676569806601,1.3468932855547007
2025-02-05,43.6532,6.0,65.0,12.0,1.403142338595123,1.3087232978918837
2025-02-05,43.6532,7.0,65.0,12.0,2.0488452778777777,1.8272227581358556
2025-02-05,43.6532,8.0,65.0,12.0,2.0728109573250277,1.8464671987319974
2025-02-05,43.6532,9.0,65.0,12.0,2.0489107110421996,1.8272753009668863
2025-02-05,43.6532,10.0,65.0,12.0,2.0489107110421996,1.8272753009668863
2025-02-10,43.6532,0.0,65.0,12.0,3.487889506145005,2.9827752734344393
2025-02-10,43.6532,1.0,65.0,12.0,3.481574673547879,2.977704462858947
2025-02-10,43.6532,2.0,65.0,12.0,2.3498466090116423,2.068926827036349
2025-02-10,43.6532,3.0,65.0,12.0,2.122762580923867,1.8865783524818653
2025-02-10,43.6532,4.0,65.0,12.0,1.583129505791758,1.4532529931507818
2025-02-10,43.6532,5.0,65.0,12.0,1.583129505791758,1.4532529931507818
2025-02-10,43.6532,6.0,65.0,12.0,1.5321937572425623,1.4123515870657777
2025-02-10,43.6532,7.0,65.0,12.0,2.2384360466218705,1.979464145437362
2025-02-10,43.6532,8.0,65.0,12.0,2.264451765112609,2.000354767385425
2025-02-10,43.6532,9.0,65.0,12.0,2.2393370912631956,1.980187684284346
2025-02-10,43.6532,10.0,65.0,12.0,2.2393370912631956,1.980187684284346
2025-02-15,43.6532,0.0,65.0,12.0,3.7571494509486736,3.198991009111785
2025-02-15,43.6532,1.0,65.0,12.0,3.7512832713905397,3.1942804669266036
2025-02-15,43.6532,2.0,65.0,12.0,2.438693429552655,2.140270823930782
2025-02-15,43.6532,3.0,65.0,12.0,2.2833514152070755,2.0155311864112817
2025-02-15,43.6532,4.0,65.0,12.0,1.6244240618846515,1.4864125216933752
2025-02-15,43.6532,5.0,65.0,12.0,1.6244240618846515,1.4864125216933752
2025-02-15,43.6532,6.0,65.0,12.0,1.5721378716602776,1.444426710943203
2025-02-15,43.6532,7.0,65.0,12.0,2.321279556375433,2.0459874837694727
2025-02-15,43.6532,8.0,65.0,12.0,2.3546468096426745,2.072781388143068
2025-02-15,43.6532,9.0,65.0,12.0,2.3294831699579888,2.052574985476265
2025-02-15,43.6532,10.0,65.0,12.0,2.329483169957989,2.0525749854762654
2025-02-20,43.6532,0.0,65.0,12.0,4.062270450547874,3.444003171789943
2025-02-20,43.6532,1.0,65.0,12.0,4.056020076868847,3.438984121725684
2025-02-20,43.6532,2.0,65.0,12.0,2.512842558163918,2.1998125742056263
2025-02-20,43.6532,3.0,65.0,12.0,2.486648767995428,2.178778960700329
2025-02-20,43.6532,4.0,65.0,12.0,1.8000711903102187,1.6274571658191057
2025-02-20,43.6532,5.0,65.0,12.0,1.8000711903102187,1.6274571658191057
2025-02-20,43.6532,6.0,65.0,12.0,1.7038057423560782,1.5501560111119308
2025-02-20,43.6532,7.0,65.0,12.0,2.3868953996753572,2.098677005939312
2025-02-20,43.6532,8.0,65.0,12.0,2.420463722491908,2.125632369161002
